a person walks forward turns 180 degrees to the right and keeps on walking 	 a person walks forward turns 180 degrees to the right and keeps on walking
A person does a few steps and turns on his rigth foot. 	 a person does a few steps and turns on his right foot
A person goes five steps forward. 	 a person goes 5 steps forward
A person lifts their arms for a moment and then sits down on the floor. 	 a person lifts their arms for a moment and then sits down on the floor
Someone raises his arms to the side and then gets down on his knees. 	 someone raises his arms to the side and then gets down on his knees
A person walking slowly forwards. 	 a person walking slowly forwards
A person walks 4 steps forward. 	 a person walks 4 steps forward
A person moves three and a half steps forward, goes back and moves forward again. 	 a person moves 3 and a half steps forward goes back and moves forward again
A person takes four forward steps, than two bakcward steps and finally four forward steps again. 	 a person takes 4 forward steps than 2 backward steps and finally 4 forward steps again
a person walks forwards gets pushed back and keeps on walking forwards 	 a person walks forwards gets pushed back and keeps on walking forwards
A person walks forward, then gets pushed back a little but continues walking forward in a straight line afterwards. 	 a person walks forward then gets pushed back a little but continues walking forward in a straight line afterwards
A person is getting on his knees. 	 a person is getting on his knees
a human goes down on his knees 	 a human goes down on his knees
A person walks a quarter of a circle counterclockwise. 	 a person walks a quarter of a circle counterclockwise
a human walks a quarter to the left 	 a human walks a quarter to the left
human runs for about five steps starting with right foot 	 human runs for about 5 steps starting with right foot
Somebody runs straight on. 	 somebody runs straight on
A human playing a violin 	 a human playing a violin
A person is flexing their biceps. 	 a person is flexing their biceps
A person holds an object with his right hand and wipes it with its left hand. 	 a person holds an object with his right hand and wipes it with its left hand
a person plays the violin with its left hand 	 a person plays the violin with its left hand
A man is playing an instrument 	 a man is playing an instrument
A person accelerates forward and then slows down again 	 a person accelerates forward and then slows down again
A person walks forward. 	 a person walks forward
a person running energetically and brakes abruptly. 	 a person running energetically and brakes abruptly
The human is running 	 the human is running
the person is first walking and then making a sharp left turn 	 the person is first walking and then making a sharp left turn
A person walks forward and turns to the left. 	 a person walks forward and turns to the left
A person walks a quarter ciricle to the left, taking five steps. 	 a person walks a quarter circle to the left taking 5 steps
A human walking in a circle clockwise 	 a human walking in a circle clockwise
A person is walking in a circle clockwise. 	 a person is walking in a circle clockwise
A human goes around the circle clockwise 	 a human goes around the circle clockwise
someone walks a larger clockwise. 	 someone walks a larger clockwise
a person walks in a circle to the right 	 a person walks in a circle to the right
A person walks to the right and then to the left with lateral steps. 	 a person walks to the right and then to the left with lateral steps
walking counter clock-wise in a circle 	 walking counter clock wise in a circle
A person walks in a circle round an axis. 	 a person walks in a circle round an axis
A person walks a circle. 	 a person walks a circle
A person do a 360 degree twist. 	 a person do a 360 degrees twist
A person jumps forward while turning 90 degrees to the left. 	 a person jumps forward while turning 90 degrees to the left
Someone walks a full clockwise circle 	 someone walks a full clockwise circle
a person is walking in a circle in clockwise direction. 	 a person is walking in a circle in clockwise direction
A person performs a high kick while turning. 	 a person performs a high kick while turning
A human performs a 90° counter clockwise jump. 	 a human performs a 90 degrees counter clockwise jump
A person is walking up to sit on something, sits there for a short while and then stands up again and walks away. 	 a person is walking up to sit on something sits there for a short while and then stands up again and walks away
A person walks forward 	 a person walks forward
A person walks four straight steps forward. 	 a person walks 4 straight steps forward
Somebody walks slowly straight on. 	 somebody walks slowly straight on
A person first walks, then crawls on all fours and then walks again. 	 a person first walks then crawls on all fours and then walks again
Someone jumps to the left. 	 someone jumps to the left
A human performs a jump to the left. 	 a human performs a jump to the left
A person jumps to his left. 	 a person jumps to his left
Person walking in a curve to the left 	 person walking in a curve to the left
human goes forward in a quater circle conterclockwise starting with left 	 human goes forward in a quarter circle counterclockwise starting with left
A human performs a tight 90° left curve 	 a human performs a tight 90 degrees left curve
a person walks a quater circle to the left 	 a person walks a quarter circle to the left
A person taking a 90 degree left turn 	 a person taking a 90 degrees left turn
A person walks 4 steps forward. 	 a person walks 4 steps forward
A human walking forward 	 a human walking forward
A person is turning multiple wheels. 	 a person is turning multiple wheels
A person first waves his left hand then widely both hands. 	 a person first waves his left hand then widely both hands
A person is balancing forward with both arms stretched out to the side. 	 a person is balancing forward with both arms stretched out to the side
A person looks around and then walks forward. 	 a person looks around and then walks forward
a person waves with both of his hands 	 a person waves with both of his hands
the person is doing boxing 	 the person is doing boxing
A person hits something with its right arm 	 a person hits something with its right arm
A human boxes with its right hand once. 	 a human boxes with its right hand once
a person walks forward 	 a person walks forward
human goes forward 	 human goes forward
A person runs 	 a person runs
Someone is trying to walk fast 4 steps starting with the right leg and then stopping. 	 someone is trying to walk fast 4 steps starting with the right leg and then stopping
a persone wipe a surface 	 a person wipe a surface
A person is stirring with their right hand. 	 a person is stirring with their right hand
A human performs a whiping movement with the right hand 	 a human performs a whining movement with the right hand
a person wipes a plane with its right hand 	 a person wipes a plane with its right hand
A person wipes  a surface with his right hand. 	 a person wipes a surface with his right hand
A person stirring with their right hand 	 a person stirring with their right hand
Someone moves his right hand in a circular motion in front of his upper body. 	 someone moves his right hand in a circular motion in front of his upper body
a man is wiping something with his right hand 	 a man is wiping something with his right hand
A person slowly walking forwards for a few steps 	 a person slowly walking forwards for a few steps
The human walks very slowly 	 the human walks very slowly
A person jumps over an obstacle  while moving forward. 	 a person jumps over an obstacle while moving forward
human takes a swing like while playing golf 	 human takes a swing like while playing golf
A person playing golf over his right shoulder. 	 a person playing golf over his right shoulder
a person plays golf with its right hand 	 a person plays golf with its right hand
A human performs a hard hit with a golf club and swings the club over its shoulder while doing the hit. 	 a human performs a hard hit with a golf club and swings the club over its shoulder while doing the hit
A person is playing golf. 	 a person is playing golf
A person performs a golf swing. 	 a person performs a golf swing
A person runs forwards and turns around. 	 a person runs forwards and turns around
A person walks a quarter circle clockwise. 	 a person walks a quarter circle clockwise
a person walks 	 a person walks
A person is walking forward. 	 a person is walking forward
A person takes a deep bow. 	 a person takes a deep bow
A person bows. 	 a person bows
a person takes a deep bow 	 a person takes a deep bow
A person walks forward during that the person is pushed slightly to the left. 	 a person walks forward during that the person is pushed slightly to the left
A human performs a handspring. 	 a human performs a handspring
A person walks forward at medium speed. 	 a person walks forward at medium speed
A person walks 2 steps forward, turns 180 degrees on the left foot and walks again 2 steps forward. 	 a person walks 2 steps forward turns 180 degrees on the left foot and walks again 2 steps forward
The human walks a left bend. 	 the human walks a left bend
A person gets down to the knees. 	 a person gets down to the knees
A person sneaking while crouched. 	 a person sneaking while crouched
A person makes a far jump. 	 a person makes a far jump
A person stumbling to the right. 	 a person stumbling to the right
A person walks in a clockwise circle 	 a person walks in a clockwise circle
A person running in a full circle, clockwise. 	 a person running in a full circle clockwise
Someone moves forward in a jog. 	 someone moves forward in a jog
A human starts jogging, moving up its hands and stopping the jogging movement 	 a human starts jogging moving up its hands and stopping the jogging movement
a person jogs for some meters 	 a person jogs for some meters
A Person jogs a few steps. 	 a person jogs a few steps
A person walking forwards, turning on the right foot and walking back again 	 a person walking forwards turning on the right foot and walking back again
A person is spinning around while walking. 	 a person is spinning around while walking
A person walks around a corner to their right. 	 a person walks around a corner to their right
Someone walks a right turn 	 someone walks a right turn
A person walks a 90° curve, its head hanging down 	 a person walks a 90 degrees curve its head hanging down
Subject kneels down. 	 subject kneels down
a person makes a T-pose and kneels down 	 a person makes a T-pose and kneels down
a person kneels down 	 a person kneels down
A person is fishing. 	 a person is fishing
A person jumping and then walking four steps. 	 a person jumping and then walking 4 steps
The jump performs a counter-clockwise jump. 	 the jump performs a counter clockwise jump
Someone is stirring with his right hand. 	 someone is stirring with his right hand
A person wipes a desk. 	 a person wipes a desk
A kneeling person raises their arms to the sides and stands up. 	 a kneeling person raises their arms to the sides and stands up
kneeling person stands up. 	 kneeling person stands up
The human stands up 	 the human stands up
a person walks forwards 	 a person walks forwards
A person walks 2 steps forward, turns 180 degrees on the left foot and walks again 2 steps forward. 	 a person walks 2 steps forward turns 180 degrees on the left foot and walks again 2 steps forward
a human walks forward forming a lying eight 	 a human walks forward forming a lying 8
A person walks clockwise in a circle. 	 a person walks clockwise in a circle
A person changes suddenly the direction and then runs to the left. 	 a person changes suddenly the direction and then runs to the left
A human walks up stairs. 	 a human walks up stairs
A human walks forward. 	 a human walks forward
Someone gets pushed from the front. 	 someone gets pushed from the front
a person gets pushed from the front and stumbles back a few steps 	 a person gets pushed from the front and stumbles back a few steps
A person acting like a chicken. 	 a person acting like a chicken
A person waves forward with the left hand. 	 a person waves forward with the left hand
A human waves with its left hand. 	 a human waves with its left hand
Subject walks a quarter circle clockwise. 	 subject walks a quarter circle clockwise
A person walks in a 90° curve to his right. 	 a person walks in a 90 degrees curve to his right
A person waits on a ATM line and then goes to the machine. 	 a person waits on a atm line and then goes to the machine
a human sit 	 a human sit
A person is skateboarding. 	 a person is skateboarding
A person walks slowly 4 steps forward. 	 a person walks slowly 4 steps forward
A person is running forward. 	 a person is running forward
A person walks backward at a slow speed. 	 a person walks backward at a slow speed
A human is walking 4 steps backwards and starting with its left food. 	 a human is walking 4 steps backwards and starting with its left food
A person walks backwards. 	 a person walks backwards
some is reverse walking 	 some is reverse walking
A person takes 4 steps backwards. 	 a person takes 4 steps backwards
A person moves backwards 4 steps before standing still 	 a person moves backwards 4 steps before standing still
Someone is walking backwards. 	 someone is walking backwards
a man is walking backwards 	 a man is walking backwards
Somebody walks a few steps backward. 	 somebody walks a few steps backward
A person moves both hands in circles in front of its body. 	 a person moves both hands in circles in front of its body
A person is shaking arms and legs like doing a warming up. 	 a person is shaking arms and legs like doing a warming up
Someone walks a clockwise circle 	 someone walks a clockwise circle
a person is walking a clockwise circle 	 a person is walking a clockwise circle
A person walks in a circle. 	 a person walks in a circle
A human is walking in circle to the right 	 a human is walking in circle to the right
A person stands and begins walking slowly forward to stop again after a few steps. 	 a person stands and begins walking slowly forward to stop again after a few steps
human slowly goes forward starting with right 	 human slowly goes forward starting with right
A human walks slowly 4 steps forward. 	 a human walks slowly 4 steps forward
A person is walking. 	 a person is walking
A human walks forward and goes up the stairs. 	 a human walks forward and goes up the stairs
Person stumbles forward. 	 person stumbles forward
A person stumbles forward. 	 a person stumbles forward
A human steps down a low platform. 	 a human steps down a low platform
A person walks fast forward. 	 a person walks fast forward
A person walks up a hill. 	 a person walks up a hill
A person is dancing some Latin or Standard dance. 	 a person is dancing some latin or standard dance
A person walks 4 steps forward. 	 a person walks 4 steps forward
The human walks slowly 	 the human walks slowly
human goes forward 	 human goes forward
a person takes 5 steps forward 	 a person takes 5 steps forward
Someone walks forward. 	 someone walks forward
A person jumps forward. 	 a person jumps forward
A person plays the air violin 	 a person plays the air violin
The human is playing violin 	 the human is playing violin
A person walks in a circle counter clockwise. 	 a person walks in a circle counter clockwise
A person is touching the floor with the right hand. 	 a person is touching the floor with the right hand
A person walks 4 steps forward. 	 a person walks 4 steps forward
Someone cleans a table. 	 someone cleans a table
a persons wipes something with its right hand 	 a persons wipes something with its right hand
A human is performing a horizontal whiping movement with the right hand 	 a human is performing a horizontal whining movement with the right hand
A person is wiping with the right hand. 	 a person is wiping with the right hand
A person goes left. 	 a person goes left
a person walks to the left 	 a person walks to the left
A person walks four fast steps forward. 	 a person walks 4 fast steps forward
the person makes only one step 	 the person makes only 1 step
a person takes one step forwards 	 a person takes 1 step forwards
A person is pushed forwards. 	 a person is pushed forwards
A human drinks. 	 a human drinks
A human walks to the left. 	 a human walks to the left
Someone is walking forward and then performing a left turn. 	 someone is walking forward and then performing a left turn
A human is walking a quarter of a cirlce to its left. 	 a human is walking a quarter of a circle to its left
Person stands up from a kneeing position. 	 person stands up from a kneeing position
a person stands up from the ground 	 a person stands up from the ground
Subject walks in a full circle counterclockwise. 	 subject walks in a full circle counterclockwise
A human being pushed 	 a human being pushed
The human perfoms a step backwards 	 the human performs a step backwards
A person is making a sidestep to the right. 	 a person is making a sidestep to the right
A person is slowly walking backwards. 	 a person is slowly walking backwards
A person walking forwards and upwards 	 a person walking forwards and upwards
a person climbs some stairs 	 a person climbs some stairs
A person is walking up stairs. 	 a person is walking up stairs
A person walks forward, turns around on the spot and walks back 	 a person walks forward turns around on the spot and walks back
human goes forward, turns around partway, and goes back to the starting point 	 human goes forward turns around partway and goes back to the starting point
a person walks forwards a few step the turn 180 degrees to the left and keeps walking 	 a person walks forwards a few step the turn 180 degrees to the left and keeps walking
a human plays guitar. 	 a human plays guitar
A person plays the guitar. 	 a person plays the guitar
a person plays the guitar with its right hand 	 a person plays the guitar with its right hand
A person makes guitar playing motions 	 a person makes guitar playing motions
Someone plays guitar with his right hand. 	 someone plays guitar with his right hand
Someone is beating something 	 someone is beating something
A person walks forward, stops briefly, goes one step back and then continuos walking forward. 	 a person walks forward stops briefly goes 1 step back and then continuously walking forward
a person walks forwards gets pushed back and walks forwards again 	 a person walks forwards gets pushed back and walks forwards again
a person walks forwards, stumbles against something and then walks forward again. 	 a person walks forwards stumbles against something and then walks forward again
A human runs and stops. 	 a human runs and stops
human goes in a quarter circle counterclockwise starting with left 	 human goes in a quarter circle counterclockwise starting with left
Someone walks a quarter-circle to the right. 	 someone walks a quarter circle to the right
Someone walks a right turn 	 someone walks a right turn
A human performs a 90° curve tu the right 	 a human performs a 90 degrees curve tu the right
A human walks a quarter to his right 	 a human walks a quarter to his right
A person turns right. 	 a person turns right
A person walks forward, turns on the spot and walks back. 	 a person walks forward turns on the spot and walks back
A person takes a shower. 	 a person takes a shower
Someone wiggles his upper body while standing. 	 someone wiggles his upper body while standing
A person swims butterfly. 	 a person swims butterfly
A person turns right. 	 a person turns right
A person walks a circle clockwise. 	 a person walks a circle clockwise
A person walks in an quarter circle. 	 a person walks in an quarter circle
A human walks a quarter of a circle to its right. 	 a human walks a quarter of a circle to its right
A man keep down and lateralyl move 	 a man keep down and laterally move
A person stands up from a kneeling position. 	 a person stands up from a kneeling position
a person stands up from the ground 	 a person stands up from the ground
a person walks forward and gets pushed from the back 	 a person walks forward and gets pushed from the back
A person is pushed from the right. 	 a person is pushed from the right
Person walking and turning on one foot 	 person walking and turning on 1 foot
Someone walks, turns around and walks back 	 someone walks turns around and walks back
a person walks forwards then turn right 180 degrees and keeps walking 	 a person walks forwards then turn right 180 degrees and keeps walking
A person turns 180 degrees on his right foot. 	 a person turns 180 degrees on his right foot
A human impersonates a chicken flapping its wings. 	 a human impersonates a chicken flapping its wings
Someone imitates a chicken 	 someone imitates a chicken
A human is wagging its arms like a chicken 	 a human is wagging its arms like a chicken
A person moves his hands to his chest and moves his elbows up and down several times. 	 a person moves his hands to his chest and moves his elbows up and down several times
a person does the chicken moves 	 a person does the chicken moves
human performs a chicken dance 	 human performs a chicken dance
A person squats while doing a chicken wing motion with his arms. 	 a person squats while doing a chicken wing motion with his arms
A person is dancing 	 a person is dancing
A human turning left 	 a human turning left
A human performs gestures displaying frustration. 	 a human performs gestures displaying frustration
A peron walks in a quarter circle. 	 a peron walks in a quarter circle
Someone is walking forward and then coming to a stop while turning to the right. 	 someone is walking forward and then coming to a stop while turning to the right
A person walks forward before turing 80° to his right. 	 a person walks forward before turing 80 degrees to his right
a person walks a few steps forwards and then takes a turn to the right 	 a person walks a few steps forwards and then takes a turn to the right
A person walking forward then turning slightly to the right 	 a person walking forward then turning slightly to the right
A person walks forward approximately 3,5 meters, trurns around and walks back to where he started. 	 a person walks forward approximately 3,5 meters turns around and walks back to where he started
A person runs forward, turns around and runs back. 	 a person runs forward turns around and runs back
A person steps over something taking a long step to the right front of him. 	 a person steps over something taking a long step to the right front of him
A person is catching something and throwing it back again. 	 a person is catching something and throwing it back again
The human plays air guitar and sways. 	 the human plays air guitar and sways
a person plays the guitar with its right hand 	 a person plays the guitar with its right hand
A person plays an instrument. 	 a person plays an instrument
A man jump a step front. 	 a man jump a step front
A person dances. 	 a person dances
A person dancing 	 a person dancing
Somebody balances something. 	 somebody balances something
a person does a pose 	 a person does a pose
A person bends both arms upwards. 	 a person bends both arms upwards
A person walks down a slope. 	 a person walks down a slope
Subject does an evasive motion bending backwards. 	 subject does an evasive motion bending backwards
A human is being pushed to the right. 	 a human is being pushed to the right
Subject waves with its left hand. 	 subject waves with its left hand
A person walks two steps, turns around and walks another two steps. 	 a person walks 2 steps turns around and walks another 2 steps
A person walks a few steps forward and turns 180 degrees and takes another step forward 	 a person walks a few steps forward and turns 180 degrees and takes another step forward
A human walking straight with pretty stiff legs and little bit of shaking hips 	 a human walking straight with pretty stiff legs and little bit of shaking hips
A persons is pushed to the left while walking forward. 	 a persons is pushed to the left while walking forward
A person takes a few steps and avoids an obstacle to his right. 	 a person takes a few steps and avoids an obstacle to his right
A person is walking listlessly 	 a person is walking listless
A person walks forward. 	 a person walks forward
the person is slowly walking to forward 	 the person is slowly walking to forward
A person is performing multiple jumps on the spot by first turning 90 degrees, then 180 degrees and finally 360 degrees to the left. 	 a person is performing multiple jumps on the spot by first turning 90 degrees then 180 degrees and finally 360 degrees to the left
A person walks backwards 	 a person walks backwards
Someone walks backward 	 someone walks backward
A person walks backwards. 	 a person walks backwards
A person slowly walks backward. 	 a person slowly walks backward
A person walks 5 steps backwards. 	 a person walks 5 steps backwards
A person taking a few steps backwards 	 a person taking a few steps backwards
A person walks in a circle. 	 a person walks in a circle
a person walks in a circle to the right 	 a person walks in a circle to the right
A person makes a sharp turn. 	 a person makes a sharp turn
A person steps forward and turns 180 degrees. 	 a person steps forward and turns 180 degrees
A person is strolling 	 a person is strolling
A person doing a waving movement with the right hand 	 a person doing a waving movement with the right hand
A person walks forward and is pushed to the right. 	 a person walks forward and is pushed to the right
Person stumbling after being pushed while walking 	 person stumbling after being pushed while walking
Someone slips to the side while walking on a straight line 	 someone slips to the side while walking on a straight line
A person is forcibly pushed during walking. 	 a person is forcibly pushed during walking
someone stumbles to the right side while walking 	 someone stumbles to the right side while walking
A person walks two steps forward, then seems to fall to towards the right, then gets back in the original line 	 a person walks 2 steps forward then seems to fall to towards the right then gets back in the original line
A person is pushed to the right while walking ahead. 	 a person is pushed to the right while walking ahead
a person walks forward and is pushed by something from his left 	 a person walks forward and is pushed by something from his left
A person is pushed from the left. 	 a person is pushed from the left
A person walks 4 steps in the forward direction. 	 a person walks 4 steps in the forward direction
A human sits on an approximately 1m high platform. 	 a human sits on an approximately 1 m high platform
A human playing a guitar 	 a human playing a guitar
A person plays violin on the wrong side (right). 	 a person plays violin on the wrong side right
A person is playing an instrument. 	 a person is playing an instrument
A person is playing the guitar with the left hand. 	 a person is playing the guitar with the left hand
A person hits something. 	 a person hits something
A human is performing a slap at the hight of the scrotch 	 a human is performing a slap at the height of the scratch
Hitting something with the right hand. 	 hitting something with the right hand
a person hits something in front of it with its right hand 	 a person hits something in front of it with its right hand
A human walks while holding her right upper leg with both hands. 	 a human walks while holding her right upper leg with both hands
A person kneels down. 	 a person kneels down
A person walks 2 steps forward, turns 180 degrees on the right foot and walks again 2 steps forward. 	 a person walks 2 steps forward turns 180 degrees on the right foot and walks again 2 steps forward
A person walks a few steps forward, then turns around and walks back again. 	 a person walks a few steps forward then turns around and walks back again
A human walks a quarter circle clockwise 	 a human walks a quarter circle clockwise
a person walks to the right performing a quarter circle 	 a person walks to the right performing a quarter circle
The human perfoms a right turn 	 the human performs a right turn
A person is walking slowly and relaxed 	 a person is walking slowly and relaxed
A person goes two steps forward, turns around and goes two and a half steps back. 	 a person goes 2 steps forward turns around and goes 2 and a half steps back
A person walks forward in a straight line before turning 180° to his right and then walks another 2 steps forward. 	 a person walks forward in a straight line before turning 180 degrees to his right and then walks another 2 steps forward
Someone takes two steps forward, turns around on the right foot and takes another two steps. 	 someone takes 2 steps forward turns around on the right foot and takes another 2 steps
A person is pushed in the back and therefore makes a few steps forwards. 	 a person is pushed in the back and therefore makes a few steps forwards
Someone walks a few steps in a left bend. 	 someone walks a few steps in a left bend
Subject starts on its knees and stands up. 	 subject starts on its knees and stands up
A person stands up 	 a person stands up
A person is convulsed with laughter. 	 a person is convulsed with laughter
Person walking in a circle to the left 	 person walking in a circle to the left
A person walks counter-clockwise circle 	 a person walks counter clockwise circle
someone walks a larger anticlockwise. 	 someone walks a larger anticlockwise
Someone who throws and catches something. 	 someone who throws and catches something
the person is pushed to the front while waking ahead 	 the person is pushed to the front while waking ahead
A human catches and throws something. 	 a human catches and throws something
A person is slowly walking backwards on higher ground while it looks like walking forward or a moonwalk. 	 a person is slowly walking backwards on higher ground while it looks like walking forward or a moonwalk
A person seems to open something and then reaches for an object using the right hand. 	 a person seems to open something and then reaches for an object using the right hand
Someone walks in a clockwise circle 	 someone walks in a clockwise circle
human goes in a circle clockwise starting with right 	 human goes in a circle clockwise starting with right
A person is walking forwards and then stumbling to the left 	 a person is walking forwards and then stumbling to the left
A persons gets pushed from the right and jumps to recover. 	 a persons gets pushed from the right and jumps to recover
A standing person is beeing pushed hard from the right side and compensates the disturbance. 	 a standing person is being pushed hard from the right side and compensates the disturbance
human is pushed from its right hand side 	 human is pushed from its right hand side
Somebody is pushed on his right shoulder. 	 somebody is pushed on his right shoulder
A person walking very normal, with an average speed for 5 steps while its arms are swinging normally on every step 	 a person walking very normal with an average speed for 5 steps while its arms are swinging normally on every step
a person walks forwards 	 a person walks forwards
A human rides a skateboard. 	 a human rides a skateboard
Subject walks forward spinns around and walks backwards. 	 subject walks forward spins around and walks backwards
a person walks forward takes a 180 degree turn to the left and keeps on walking 	 a person walks forward takes a 180 degrees turn to the left and keeps on walking
A person walks two steps, turns around by 180° and then walks two steps. 	 a person walks 2 steps turns around by 180 degrees and then walks 2 steps
A person walks forwards. 	 a person walks forwards
A person is jumping in a circle by turning 90 degrees to the left with every jump. 	 a person is jumping in a circle by turning 90 degrees to the left with every jump
A person is dancing. 	 a person is dancing
A person makes a single wipe movement with the left arm. 	 a person makes a single wipe movement with the left arm
A person turns 360 degrees to the right while jumping with both legs. 	 a person turns 360 degrees to the right while jumping with both legs
A person is walking carefully avoiding obstacles. 	 a person is walking carefully avoiding obstacles
a person walks three steps backwards 	 a person walks 3 steps backwards
a person walks forwards 	 a person walks forwards
A human sits down on the floor and stands up again. 	 a human sits down on the floor and stands up again
A human walking backwards 	 a human walking backwards
A person walks backwards. 	 a person walks backwards
A person is walking backwards. 	 a person is walking backwards
A person is pushed to the left. 	 a person is pushed to the left
Subject does quick sidestep to the side. 	 subject does quick sidestep to the side
a person wipes a flat surface 	 a person wipes a flat surface
A person walking in a quarter circle to the right 	 a person walking in a quarter circle to the right
A person walks while turning to the right. 	 a person walks while turning to the right
A person is carefully walking and watching out. 	 a person is carefully walking and watching out
A person walks slowly 4 steps forward. 	 a person walks slowly 4 steps forward
A human is slowly walking 4 steps forward. 	 a human is slowly walking 4 steps forward
human performs a waving motion with its right hand 	 human performs a waving motion with its right hand
A person waves using the right hand. 	 a person waves using the right hand
A person is doing a swing movement like hitting a ball with a golf club. 	 a person is doing a swing movement like hitting a ball with a golf club
Subject walks in a quarter circle counterclockwise. 	 subject walks in a quarter circle counterclockwise
A person is walking in a circle. 	 a person is walking in a circle
A person jumps and turns 180 degrees mid-air 	 a person jumps and turns 180 degrees mid air
A person is doing cartwheels back and forth. 	 a person is doing cartwheels back and forth
A person is pushed over to the left, catches his steps and returns to the previous position 	 a person is pushed over to the left catches his steps and returns to the previous position
a person stand still and gets pushed to the left and takes a step backwards to its original position 	 a person stand still and gets pushed to the left and takes a step backwards to its original position
A person dodges an incoming object. 	 a person dodges an incoming object
human is push from right hand side 	 human is push from right hand side
The subject is doing a left turn in 4 steps. 	 the subject is doing a left turn in 4 steps
a person walks forwards in a quarter circle 	 a person walks forwards in a quarter circle
someone makes a trun 	 someone makes a turn
A human runs. 	 a human runs
A person performs a tennis serve. 	 a person performs a tennis serve
A person walks while gradually turning to the right. 	 a person walks while gradually turning to the right
A person turns right. 	 a person turns right
a person walks to the right 90 degrees 	 a person walks to the right 90 degrees
A person is running left and then right around an obstacle. 	 a person is running left and then right around an obstacle
A human shows a T-pose and then kneels down. 	 a human shows a T-pose and then kneels down
the person is first rising to hands up and then kneeling down 	 the person is first rising to hands up and then kneeling down
A person moves the arms up and down and goes to the knees. 	 a person moves the arms up and down and goes to the knees
a person spreads his arms like a bird and then goes down to its knees 	 a person spreads his arms like a bird and then goes down to its knees
A person jumps on the spot, throwing his hands in the air before walking 5 steps forwards. 	 a person jumps on the spot throwing his hands in the air before walking 5 steps forwards
human jumps and goes forward afterwards 	 human jumps and goes forward afterwards
Someone is jumping and afterwards walking forward 4 steps starting with the right leg. 	 someone is jumping and afterwards walking forward 4 steps starting with the right leg
a person jumps up about 10cm and then walks forward for a few steps 	 a person jumps up about 10 centimeters and then walks forward for a few steps
A person jumps vertically about 20 cm high, then takes a few forward steps. 	 a person jumps vertically about 20 centimeters high then takes a few forward steps
A person jumps and walks. 	 a person jumps and walks
Someone jumps up approcimately 10 centimeters and then walks forwards taking 4 steps. 	 someone jumps up approximately 10 centimeters and then walks forwards taking 4 steps
Someone walks to the right. 	 someone walks to the right
A person walks forwards in a relaxed manner. 	 a person walks forwards in a relaxed manner
human goes forward starting with right 	 human goes forward starting with right
a person walks straight forwards 	 a person walks straight forwards
A person walking forward four steps. 	 a person walking forward 4 steps
A person walks. 	 a person walks
A person picks up an object with the left hand, passes it over to to the right hand and puts it back down. 	 a person picks up an object with the left hand passes it over to to the right hand and puts it back down
A person is strolling along at a leisurely pace taking his time to look around. 	 a person is strolling along at a leisurely pace taking his time to look around
human slowly goes forward 	 human slowly goes forward
