terms	count
in the right direction	1
while balancing with the right arm	1
to the face	1
off the ground	1
foward	1
over a platform	1
at the shoulder	1
in a non straight line stops	1
from the behind left side	1
at the last step	1
finally	1
3 bigger and 1 smaller steps backwards	1
after walking forward	1
a quarter ride sided circle	1
4 steps in a right bend	1
in 1 motion	1
from this position	1
from the left recovers	1
from it	1
to a point	1
past	1
on a line	1
from his knees	1
from standing position	1
in the direction he is facing	1
downwards steps or a slope	1
downward	1
diagonal	1
throughout	1
after a short distance	1
	0
